filename,path,extension,size_bytes,modified,rows,columns,column_names,column_types,description
README.md,README.md,.md,4206,2025-11-17 05:40:10.551603,,,,,Файл проекта lab9
lab9.ipynb,lab9.ipynb,.ipynb,22135,2025-11-17 04:49:21.018635,,,,,Файл проекта lab9
generate_data_catalog.py,generate_data_catalog.py,.py,2041,2025-11-17 06:02:13.965590,,,,,Файл проекта lab9
lab9.csv,data/lab9.csv,.csv,2086790,2025-11-17 05:39:04.314604,18158.0,23.0,"['Date', 'Location', 'MinTemp', 'MaxTemp', 'Rainfall', 'Evaporation', 'Sunshine', 'WindGustDir', 'WindGustSpeed', 'WindDir9am', 'WindDir3pm', 'WindSpeed9am', 'WindSpeed3pm', 'Humidity9am', 'Humidity3pm', 'Pressure9am', 'Pressure3pm', 'Cloud9am', 'Cloud3pm', 'Temp9am', 'Temp3pm', 'RainToday', 'RainTomorrow']","{'Date': 'object', 'Location': 'object', 'MinTemp': 'float64', 'MaxTemp': 'float64', 'Rainfall': 'float64', 'Evaporation': 'float64', 'Sunshine': 'float64', 'WindGustDir': 'object', 'WindGustSpeed': 'float64', 'WindDir9am': 'object', 'WindDir3pm': 'object', 'WindSpeed9am': 'float64', 'WindSpeed3pm': 'float64', 'Humidity9am': 'float64', 'Humidity3pm': 'float64', 'Pressure9am': 'float64', 'Pressure3pm': 'float64', 'Cloud9am': 'float64', 'Cloud3pm': 'float64', 'Temp9am': 'float64', 'Temp3pm': 'float64', 'RainToday': 'object', 'RainTomorrow': 'object'}",Файл проекта lab9
